instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vadd.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vadd.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vadd.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vadd.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vadd.vi v8,v16,13",3,3,3,4,3,3,3,4,3,3,3,4
"vadd.vi v8,v16,13,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vsub.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vsub.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vsub.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vsub.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vrsub.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vrsub.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vrsub.vi v8,v16,13",3,3,3,4,3,3,3,4,3,3,3,4
"vrsub.vi v8,v16,13,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vminu.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vminu.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vminu.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vminu.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vmin.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vmin.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vmin.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vmin.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vmaxu.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vmaxu.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vmaxu.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vmaxu.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vmax.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vmax.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vmax.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vmax.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vand.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vand.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vand.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vand.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vand.vi v8,v16,13",3,3,3,4,3,3,3,4,3,3,3,4
"vand.vi v8,v16,13,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vor.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vor.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vor.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vor.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vor.vi v8,v16,13",3,3,3,4,3,3,3,4,3,3,3,4
"vor.vi v8,v16,13,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vxor.vv v8,v16,v24",3,3,3,4,3,3,3,4,3,3,3,4
"vxor.vv v8,v16,v24,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vxor.vx v8,v16,t0",3,3,3,5,3,3,3,5,3,3,3,5
"vxor.vx v8,v16,t0,v0.t",3,3,3,5,3,3,3,5,3,3,3,5
"vxor.vi v8,v16,13",3,3,3,4,3,3,3,4,3,3,3,4
"vxor.vi v8,v16,13,v0.t",3,3,3,4,3,3,3,4,3,3,3,4
"vrgather.vv v8,v16,v24",3,4,8,32,3,4,8,32,3,4,8,32
"vrgather.vv v8,v16,v24,v0.t",3,4,8,32,3,4,8,32,3,4,8,32
"vrgather.vx v8,v16,t0",3,7,10,14,3,7,10,14,3,7,10,14
"vrgather.vx v8,v16,t0,v0.t",3,7,10,14,3,7,10,14,3,7,10,14
"vrgather.vi v8,v16,3",3,7,9,14,3,7,9,14,3,7,9,14
"vrgather.vi v8,v16,3,v0.t",3,7,9,14,3,7,9,14,3,7,9,14
"vslideup.vx v8,v16,t0",3,3,7,23,3,3,7,23,3,3,6,23
"vslideup.vx v8,v16,t0,v0.t",3,3,7,23,3,3,7,23,3,3,7,23
"vslideup.vi v8,v16,3",3,3,5,21,3,3,5,21,3,3,5,21
"vslideup.vi v8,v16,3,v0.t",3,3,5,21,3,3,5,21,3,3,5,21
"vslidedown.vx v8,v16,t0",3,4,7,23,3,4,7,23,3,4,7,23
"vslidedown.vx v8,v16,t0,v0.t",3,4,7,23,3,4,7,23,3,4,7,23
"vslidedown.vi v8,v16,3",3,4,7,20,3,4,7,20,3,4,7,20
"vslidedown.vi v8,v16,3,v0.t",3,4,6,20,3,4,7,20,3,4,7,20
"vredsum.vs v8,v16,v24",4,8,10,14,4,8,10,14,4,8,10,14
"vredsum.vs v8,v16,v24,v0.t",4,8,10,14,4,8,10,14,4,8,10,14
"vredand.vs v8,v16,v24",3,6,8,12,3,6,8,12,3,6,8,12
"vredand.vs v8,v16,v24,v0.t",3,6,8,12,3,6,8,12,3,6,8,12
"vredor.vs v8,v16,v24",3,6,8,12,3,6,8,12,3,6,8,12
"vredor.vs v8,v16,v24,v0.t",3,6,8,12,3,6,8,12,3,6,8,12
"vredxor.vs v8,v16,v24",3,6,8,12,3,6,8,12,3,6,8,12
