instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vadd.vv v8,v16,v24","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vadd.vv v8,v16,v24,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vadd.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vadd.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vadd.vi v8,v16,13","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vadd.vi v8,v16,13,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vsub.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vsub.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vsub.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vsub.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vrsub.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vrsub.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vrsub.vi v8,v16,13","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vrsub.vi v8,v16,13,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vminu.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vminu.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vminu.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vminu.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmin.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmin.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmin.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vmin.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmaxu.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmaxu.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmaxu.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vmaxu.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmax.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmax.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmax.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,325","2,325",3,5
"vmax.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,325","2,325","2,975",5
"vand.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5","0,975",2,"4,025"
"vand.vv v8,v16,v24,v0.t","0,5",1,2,"3,975","0,5","0,975",2,4,"0,475","0,975",2,4
"vand.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,35","2,35",3,5
"vand.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vand.vi v8,v16,13","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,525",1,2,"4,025"
"vand.vi v8,v16,13,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,475","0,975",2,4
"vor.vv v8,v16,v24","0,55","1,025","2,025",4,"0,5",1,2,4,"0,55","1,025",2,4
